Player,Institution,State,Conference,Division,Stat_link,S,M,K,K/S,E,TA,Hit_Pct,A,A/S,SA,SA/S,D,D/S,BS,BA,TOT,B/S,PTS
Bianca Díaz,Chestnut Hill College,Pennsylvania,Central Atlantic Collegiate Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=21323&stats_player_seq=2251648,100,27,2,0.02,3,16,-0.062,20,0.20,7,0.07,174,1.74,,,0,0.00,9.0
Henielys Ramos,Chestnut Hill College,Pennsylvania,Central Atlantic Collegiate Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=21323&stats_player_seq=2251647,102,27,220,2.16,86,595,0.225,535,5.25,34,0.33,259,2.54,1,19,20,0.20,264.5
Angelí Román Medina,University of the Sciences,Pennsylvania,Central Atlantic Collegiate Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=28594&stats_player_seq=2241244,104,29,9,0.09,2,21,0.333,598,5.75,26,0.25,203,1.95,,2,2,0.02,36.0
Natalia Vélez,University of the Sciences,Pennsylvania,Central Atlantic Collegiate Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=28594&stats_player_seq=2063889,90,24,273,3.03,173,780,0.128,10,0.11,31,0.34,209,2.32,6,40,46,0.51,330.0
Neyshlian Román Concepción,Goldey-Beacom College,Delaware,Central Atlantic Collegiate Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=8366&stats_player_seq=2238736,100,28,17,0.17,14,84,0.036,65,0.65,42,0.42,521,5.21,,,0,0.00,59.0
Valeria Torres,Gannon University,Pennsylvania,Pennsylvania State Athletic Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=246&stats_player_seq=2019880,126,37,4,0.03,3,12,0.083,52,0.41,44,0.35,279,2.21,,,0,0.00,48.0
Vaneris Fuentes,Seton Hill University,Pennsylvania,Pennsylvania State Athletic Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=30063&stats_player_seq=2254392,22,14,1,0.05,2,6,-0.167,38,1.73,4,0.18,5,0.23,,,0,0.00,5.0
Milleysha Molina Otero,Shepherd University,Pennsylvania,Pennsylvania State Athletic Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=10870&stats_player_seq=1907924,108,31,1,0.01,1,8,0,30,0.28,13,0.12,189,1.75,,,0,0.00,14.0
Vianca Colón González,Claflin University,South Carolina,Central Intercollegiate Athletic Association,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=30058&stats_player_seq=2079817,74,22,1,0.01,1,8,0,199,2.69,6,0.08,77,1.04,,,0,0.00,7.0
Natalia García,Mercy College,New York,East Coast Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=407&stats_player_seq=2042522,115,32,149,1.30,37,411,0.273,960,8.35,29,0.25,320,2.78,2,13,15,0.13,186.5
Adriana López Soto,Mercy College,New York,East Coast Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=407&stats_player_seq=1911617,115,32,10,0.09,6,84,0.048,110,0.96,25,0.22,455,3.96,,,0,0.00,35.0
Nichole Rivera Maldonado,Mercy College,New York,East Coast Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=407&stats_player_seq=1911619,35,16,45,1.29,17,116,0.241,1,0.03,3,0.09,16,0.46,3,9,12,0.34,55.5
Leilani Vázquez,Mercy College,New York,East Coast Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=407&stats_player_seq=1897314,,,,,,,,,,,,,,,,,,
Génesis Soto,Queens College,New York,East Coast Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=560&stats_player_seq=2057580,69,21,44,0.64,53,271,-0.033,9,0.13,23,0.33,118,1.71,1,22,23,0.33,79.0
Jeshmarie Suárez,Cal State University Los Angeles,California,California Collegiate Athletic Association,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=100&stats_player_seq=1919064,112,29,0,0.00,3,13,-0.231,90,0.80,26,0.23,367,3.28,,,0,0.00,26.0
Karla Santos,Cal State University Los Angeles,California,California Collegiate Athletic Association,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=100&stats_player_seq=1919085,112,29,321,2.87,141,880,0.205,36,0.32,48,0.43,368,3.29,4,20,24,0.21,383.0
Alejandra Negrón,Cal State University Los Angeles,California,California Collegiate Athletic Association,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=100&stats_player_seq=1919087,109,29,223,2.05,102,582,0.208,118,1.08,43,0.39,216,1.98,5,36,41,0.38,289.0
Deyaneira Gómez Salgado,Salem University,West Virginia,Independent,NCAA DII,,,,,,,,,,,,,,,,,,,
Dayane Gómez Salgado,Salem University,West Virginia,Independent,NCAA DII,,,,,,,,,,,,,,,,,,,
