Player,Institution,State,Conference,Division,Team,Announcement,Photo
Alejandra Delgado,Cowley College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,2nd Team,https://www.kjccc.org/sports/wvball/2019-20/2019_Awards?fbclid=IwAR2jN5yvcDSykpqhL8qVhWeUieB9tlKJj3YEdV3RRuk-uyoE0HNF9Nu1-EQ,Cowley College Athletics
Seliann Concepción,Coffeyville Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,1st Team,https://www.kjccc.org/sports/wvball/2019-20/2019_Awards?fbclid=IwAR2jN5yvcDSykpqhL8qVhWeUieB9tlKJj3YEdV3RRuk-uyoE0HNF9Nu1-EQ,Coffeyville Community College
Amilex López,Kansas City Kansas Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,2nd Team,https://www.kjccc.org/sports/wvball/2019-20/2019_Awards?fbclid=IwAR2jN5yvcDSykpqhL8qVhWeUieB9tlKJj3YEdV3RRuk-uyoE0HNF9Nu1-EQ,Brian Turrel
Laia Jaca,Allen Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,Honorable Mention,https://www.kjccc.org/sports/wvball/2019-20/2019_Awards?fbclid=IwAR2jN5yvcDSykpqhL8qVhWeUieB9tlKJj3YEdV3RRuk-uyoE0HNF9Nu1-EQ,Allen Community College
Aleisha Marcano,Lake-Sumter State College,Florida,NJCAA Region 8,NJCAA DII,2nd Team,http://thefcsaasports.com/sports/wvball/2019-20/Volleyball_Awards?fbclid=IwAR23anhwA2BuqTRhXmGJJ7OSy_X2_eAyQqVjYgzNONiwckEbba51IPoPB7k,Lake-Sumter State College
Nicole Rodríguez,Daytona State College,Florida,NJCAA Region 8,NJCAA DI,2nd Team,http://thefcsaasports.com/sports/wvball/2019-20/Volleyball_Awards?fbclid=IwAR23anhwA2BuqTRhXmGJJ7OSy_X2_eAyQqVjYgzNONiwckEbba51IPoPB7k,Tom Hagerty
Carla Hernández,Daytona State College,Florida,NJCAA Region 8,NJCAA DI,1st Team,http://thefcsaasports.com/sports/wvball/2019-20/Volleyball_Awards?fbclid=IwAR23anhwA2BuqTRhXmGJJ7OSy_X2_eAyQqVjYgzNONiwckEbba51IPoPB7k,Daytona State College
Nataly García,College of Central Florida,Florida,NJCAA Region 8,NJCAA DI,2nd Team,http://thefcsaasports.com/sports/wvball/2019-20/Volleyball_Awards?fbclid=IwAR23anhwA2BuqTRhXmGJJ7OSy_X2_eAyQqVjYgzNONiwckEbba51IPoPB7k,Tom Hagerty
Krystal Santiago,Florida State College at Jacksonville,Florida,NJCAA Region 8,NJCAA DI,1st Team,http://thefcsaasports.com/sports/wvball/2019-20/Volleyball_Awards?fbclid=IwAR23anhwA2BuqTRhXmGJJ7OSy_X2_eAyQqVjYgzNONiwckEbba51IPoPB7k,Tom Hagerty
María Hernández,Santa Fe College,Florida,NJCAA Region 8,NJCAA DI,1st Team,http://thefcsaasports.com/sports/wvball/2019-20/Volleyball_Awards?fbclid=IwAR23anhwA2BuqTRhXmGJJ7OSy_X2_eAyQqVjYgzNONiwckEbba51IPoPB7k,Tom Hagerty
Suared Molina,Polk State College,Florida,NJCAA Region 8,NJCAA DI,2nd Team,http://thefcsaasports.com/sports/wvball/2019-20/Volleyball_Awards?fbclid=IwAR23anhwA2BuqTRhXmGJJ7OSy_X2_eAyQqVjYgzNONiwckEbba51IPoPB7k,Tom Hagerty
Giovana Larregui,College of Central Florida,Florida,NJCAA Region 8,NJCAA DI,1st Team,http://thefcsaasports.com/sports/wvball/2019-20/Volleyball_Awards?fbclid=IwAR23anhwA2BuqTRhXmGJJ7OSy_X2_eAyQqVjYgzNONiwckEbba51IPoPB7k,College of Central Florida
Gabriela López,Bryant & Stratton College,Wisconsin,NJCAA Region 4,NJCAA DII,1st Team,https://www.region4sports.com/awards/all-region/womens_volleyball/2019-womens_volleyball,Bryant & Stratton College
Angelie Rivera,Bryant & Stratton College,Wisconsin,NJCAA Region 4,NJCAA DII,1st Team,https://www.region4sports.com/awards/all-region/womens_volleyball/2019-womens_volleyball,Bryant & Stratton College
Jexley Porrata,Lake Region State College,North Dakota,Mon-Dak Athletic Conference,NJCAA DII,1st Team,https://www.mondakconference.com/archive/vball/VB_All_Conf_2019.pdf,Lake Region State College Athletics
Ana Costas,Western Nebraska Community College,Nebraska,NJCAA Region 9,NJCAA DI,1st Team,https://www.gonjc.com/general/2019-20/releases/All_Region_IX,Western Nebraska Community College
Erica González,Laredo College,Texas,NJCAA Region 14,NJCAA DI,Honorable Mention,https://www.facebook.com/palominovolleyball/photos/a.1643574009233857/2517111925213390/,Laredo College
